자치구명,법정동명,단독다가구,아파트,연립다세대,오피스텔
구로구,고척동,92375.24137931035,61765.00936329588,23012.533333333333,31564.74358974359
구로구,구로동,108939.69911504425,51200.8646188851,30878.27771010962,17112.27572016461
구로구,궁동,85611.25,42527.0,27540.103092783505,
구로구,신도림동,128026.66666666667,103587.578125,42577.77777777778,45470.80487804878
구로구,오류동,83483.37209302325,45815.643799472295,27088.237704918032,18524.158311345647
구로구,온수동,,66920.65217391304,36058.68020304568,
구로구,천왕동,,75159.01639344262,44333.333333333336,12274.307692307691
구로구,항동,,75181.84210526316,36503.846153846156,
금천구,가산동,119900.8125,37526.751269035536,25132.757575757576,33111.279883381925
금천구,독산동,105619.32167832168,64298.63523573201,26511.16051040967,29602.519886363636
금천구,시흥동,85667.71929824562,55556.06022408963,26422.864507600792,32311.982608695653
노원구,공릉동,113763.33333333333,56580.68356500409,24216.88009592326,11334.905660377359
노원구,상계동,105670.90909090909,56199.13284772806,27407.566493955095,15184.545454545454
노원구,월계동,106972.6,64790.253634894994,22364.662921348314,13071.739130434782
노원구,중계동,56906.06060606061,69264.35677530017,19273.623853211007,31326.119402985074
노원구,하계동,150500.0,62194.81644640235,32361.363636363636,12480.0
도봉구,도봉동,75720.11538461539,50202.34146341463,21059.81499202552,19543.83695652174
도봉구,방학동,94669.43529411765,50180.66568047337,19006.696040868454,15004.462962962964
도봉구,쌍문동,92042.9420289855,44639.9807073955,22938.18656716418,23580.0
도봉구,창동,84800.7042253521,60207.46323529412,23802.930622009568,23888.816666666666
동대문구,답십리동,158322.8,82085.70076335878,37841.61486486487,18954.716783216783
동대문구,신설동,102333.33333333333,42480.769230769234,46875.0,18702.595238095237
동대문구,용두동,134092.0,88114.89086294416,38824.77876106195,16744.189830508476
동대문구,이문동,91810.74468085106,78126.3762541806,46279.10588235294,20284.74193548387
동대문구,장안동,118395.0,68372.55470737914,36340.051926298154,25792.924496644297
동대문구,전농동,111556.1313131313,98279.9263803681,32997.42156862745,24580.045454545456
동대문구,제기동,91898.67676767676,62321.30044843049,32310.255,19650.35714285714
동대문구,청량리동,112010.88,93604.71779141104,35903.57142857143,26433.17391304348
동대문구,회기동,120553.33333333333,48120.48,27171.62162162162,
동대문구,휘경동,118607.78846153847,72220.65539112051,31310.36036036036,16971.03240740741
동작구,노량진동,165253.07638888888,89730.13029315961,86720.59895833333,21086.231884057972
동작구,대방동,143357.06976744186,70566.66666666667,47948.524590163935,16148.529411764706
동작구,동작동,,131945.21739130435,50685.0,
동작구,본동,222024.54545454544,108543.97321428571,136419.57142857142,
동작구,봉천동,,73000.0,,
동작구,사당동,186660.93162393162,103376.2828379674,38938.74494283201,15959.097744360903
동작구,상도1동,164016.66666666666,47625.0,36894.206896551725,24153.846153846152
동작구,상도동,167773.23170731709,108689.77977161501,33609.164930555555,12250.0
동작구,신대방동,124005.27586206897,98290.1724137931,27602.11842105263,27677.795454545456
동작구,흑석동,154709.78181818183,154572.57671957673,65067.24,
마포구,공덕동,97909.09090909091,135382.63577586206,54663.82352941176,27330.944444444445
마포구,구수동,,,55352.94117647059,
마포구,노고산동,232095.5588235294,26814.10447761194,48959.45945945946,18455.80769230769
마포구,당인동,105000.0,,48750.0,
마포구,대흥동,237881.81818181818,135402.7704485488,49094.59459459459,24881.720430107525
마포구,도화동,173891.66666666666,113894.90250696379,60044.444444444445,41669.10112359551
마포구,동교동,337076.92307692306,96833.33333333333,43013.0,24792.45045045045
마포구,마포동,327120.0,73244.18181818182,54967.74193548387,42690.625
마포구,망원동,216169.72602739726,79505.27659574468,35482.103524229075,
마포구,상수동,231352.92307692306,157658.0357142857,44532.25806451613,21693.333333333332
마포구,상암동,382912.5,103851.55279503105,16328.133333333333,19674.595930232557
마포구,서교동,412838.90196078434,105874.09090909091,35819.731617647056,20111.0
마포구,성산동,189589.65714285715,90945.82677165355,34254.07527975585,17794.95914396887
마포구,신공덕동,85500.0,122647.0542635659,57109.52380952381,19263.74251497006
마포구,신수동,213180.0,132824.89451476792,43563.5593220339,
마포구,신정동,,109742.85714285714,,
마포구,아현동,104666.66666666667,153514.67708333334,46929.6875,23914.23214285714
마포구,연남동,316443.75,83860.31746031746,44526.77348066298,
마포구,염리동,92250.0,139481.79906542055,55950.56179775281,30520.0
마포구,용강동,263625.0,161582.66129032258,35387.83783783784,
마포구,중동,,83074.07407407407,40638.194444444445,
마포구,창전동,191333.33333333334,114967.68558951965,27633.333333333332,12886.363636363636
마포구,토정동,,120746.42857142857,,
마포구,하중동,,244193.5483870968,,
마포구,합정동,270626.2580645161,134490.9090909091,42283.92727272727,33046.8253968254
마포구,현석동,657721.0,156806.41304347827,50863.63636363636,
서대문구,남가좌동,107764.57142857143,98808.80398671096,23593.853503184713,
서대문구,냉천동,,111530.0,,
서대문구,대신동,241656.25,,33617.64705882353,30010.0
서대문구,대현동,127125.0,65560.86956521739,13528.57142857143,21841.70566037736
서대문구,미근동,70000.0,,,
서대문구,봉원동,15300.0,,,
서대문구,북가좌동,116831.53125,96487.32506887053,29837.970914127425,12890.90909090909
서대문구,북아현동,134351.98863636365,115802.05169628432,70461.6,36819.23809523809
서대문구,신촌동,162000.0,,58357.142857142855,
서대문구,연희동,174819.98765432098,64970.45662100457,34828.721951219515,21118.60465116279
서대문구,영천동,,98605.1282051282,51750.0,
서대문구,옥천동,55250.0,,24783.333333333332,
서대문구,창천동,279240.74074074073,30050.98,34065.243902439026,23340.592057761733
서대문구,천연동,97700.0,77231.22222222222,34433.333333333336,
서대문구,충정로2가,277900.0,76600.0,24083.333333333332,18555.47619047619
