index,기사날짜,기사제목,자치구,법정동,긍/부정
28,2023.11.06.,"강동구, 묻지마 범죄 ""개 섰거라!"" 반려견 순찰대 나섰다",강동구,,1
29,2023.11.06.,강동구 반려견 순찰대..범죄예방부터 주민돌봄까지,강동구,,1
30,2023.10.18.,"강동구, 재난대응 안전한국훈련 24일 실시…무차별 범죄 가상",강동구,,1
31,2023.09.05.,"강동구, 무차별 범죄를 막아라…촘촘하고 체계적 안전망 구축",강동구,,1
32,2023.09.05.,"강동구, 사각지대 CCTV 추가 설치…""무차별 범죄 불안 해소""",강동구,,1
33,2023.09.05.,"서울 강동구, 무차별 범죄 대응 위한 안전망 구축 나선다",강동구,,1
34,2023.08.23.,"이수희 강동구청장, 성내2동 '강동형 안심귀갓길' 범죄예방 점검",강동구,성내2동,1
35,2023.08.02.,"강동구, 여름철 성범죄 예방 민·관·경 합동점검",강동구,,1
36,2023.03.30.,"강동구, 여성안전지역연대 출범…여성 폭력·범죄 예방",강동구,,1
37,2023.02.20.,"강동구, 스토킹 범죄 예방과 피해자 안전조치 강화 방침",강동구,,1
38,2023.02.19.,"강동구, 촘촘한 안전망으로 스토킹 범죄 막는다",강동구,,1
39,2023.02.17.,"강동구, 스토킹범죄 예방·피해자 안전조치 강화",강동구,,1
40,2023.01.10.,"‘강동구 아동학대 방임·살인’ 친부 3년, 계모 14년 징역형 확정",강동구,,-1
