,헤드라인,내용,날짜,자치구,법정동
89,"장위10구역 재개발 조합, 교회 제척 후 사업 추진",서울 성북구 장위10구역 주택재개발정비사업 조합이 사랑제일교회를 제척하고 정비사업을 추진한다. 장위10구역 조합은 20일 오전 조합사무실에서 제5 ...,2023.04.20,성북구,전체
90,"장위10구역 재개발 갈등...전광훈 ""언론이 나를 '알박기'한다고""",전광훈 사랑제일교회 목사는 17일 서울 성북구에 위치한 교회에서 긴급 기자회견을 열었다. 이날 국민의힘과의 결별을 선언할 것으로 알려져 관심이 모 ...,2023.04.17,성북구,전체
91,지구 지정 10년만...서울 강동구 천호3구역 25층 535세대 아파트 들어서,"서울 강동구는 천호동 423-76 일대에 위치한 천호재정비촉진지구 천호3구역이 지정 10년 만에 첫삽을 떴다.지하철 5호선 천호역과 강동역, 8호선 암사역  ...",2023.04.10,강동구,천호동
92,"SH공사, 모아타운 공공관리 시범사업 대상지 현장점검","서울주택도시공사(SH)는 서울시의회와 함께 지난 7일 박석 서울시의원과 도봉구 쌍문동, 신동원 시의원과 노원구 월계동 모아타운 일대를 방문, 현장을 ...",2023.04.09,노원구,월계동
93,김원중 서울시의원 “정릉2구역 신통기획 선정을”,"서울특별시의회 문화체육관광위원회 김원중 부위원장(성북2, 국민의힘)은 13일, 정릉2구역(성북구 정릉동 314번지 일대)을 찾고 둘러본 후 신속통합기획 ...",2023.03.14,성북구,정릉동
94,서울 성북 석관동·송파 풍납동 등 6곳 모아타운 공공관리 대상지 선정,"서울 성북구 석관동 334-69 일대·석관동 261-22 일대, 도봉구 쌍문동 524-87 일대·쌍문동 494-22 일대, 노원구 월계1동 534 일대, 송파구 풍납동 483-10 일대 등 6곳 ...",2023.03.08,노원구,석관동
95,서울 노원구 월계1동·상계2동 주민센터서 모아타운 상담,"노원구, 모아타운의 정보를 모아모아 구민들에게 알려드립니다 - 6일부터 주 3회(월,수,금) 13시~ 월계1동, 상계2동 주민센터에서 모아타운 안내상담센터 ...",2023.03.07,노원구,전체
96,강동 천호·노원 상계 모아주택 심의 통과...창의적 디자인 적용,서울시가 창의적인 디자인의 모아주택을 만든다. 시는 최근 소규모주택 수권분과위원회에서 저충주거지 내 창의적 설계를 시도한 '강동구 천호동 321- ...,2023.03.03,강동구,천호동
97,"대보건설, 부천 삼우4차 가로주택정비사업 수주","대보건설은 지난 달 부천시 고강동 삼우4차 아파트 가로주택정비사업을 수주했다고 2일 전했다. 올해 부천 새보미아파트, 삼우3차에 이은 정비사업 수주 ...",2023.03.02,강동구,전체
98,서울시 성북-동대문 일대 이문차량기지 20만㎡ 복합개발,서울시는 성북구 석관동과 동대문구 일대에 위치한 이문차량기지 약 20만㎡의 개발을 위한 용역을 추진한다. 이문차량기지는 한국철도공사(코레일)이  ...,2023.02.23,성북구,석관동
99,"""재건축 안전진단 비용지원 조례개정 촉구""...노원구 주민 서명부 전달",최근 노원구는 재건축 안전진단 비용을 구에서 선 지원하고 준공인가 전 환수토록 하는 내용의 서울시 조례 개정을 촉구했다. 보다 신속한 정비사업을 ...,2023.02.17,노원구,전체
