,Unnamed: 0,헤드라인,내용,날짜,자치구,법정동
1241,1241,“재건축이익환수법 개악 즉각 중단해야”,"청년·세입자 ·주거 시민단체로 구성된 ‘주거권네트워크’는 20일 국회 앞에서 기자회견을 개최하여, 재건축조합에 더 많은 개발이익을 보장해주는 ’ ...",2023.11.21,서울,전체
1242,1242,서울 동대문 제기제6구역 재개발 관리처분계획 인가 ,서울 동대문구 제기제6구역 주택재개발정비사업조합(조합장 한점순)이 동대문구로부터 관리처분계획인가를 받았다.20일 정비업계에 따르면 동대문구는 ...,2023.11.20,서울,전체
1243,1243,"참여연대 ""재건축초과이익 환수해 주거복지에 활용"" 주장",참여연대는재건축초과이익을 환수해 주거복지에 적극 활용해야한다는 주장을 펼쳤다. 이를 뒷받침하기 위해 한국부동산원의 재건축부담금(예정액) 검 ...,2023.11.20,그외,전체
1244,1244,"서울시, 모아주택 통합심의 최대 6개월 단축",서울시는 모아주택？모아타운의 활성화를 위해 통합심의 기능을 기존 건축？도시계획 분야뿐만 아니라 경관？교통？재해？교육환경 분야까지 확대 운 ...,2023.11.20,서울,전체
1245,1245,서울 용산 청화아파트·마포 도화우성아파트 재건축 안전진단 통과 ,서울 용산구 청화아파트와 마포구 도화우성아파트가 재건축 안전진단을 통과하며 정비사업에 시동을 건다.17일 정비업계에 따르면 최근 용산구는 청화 ...,2023.11.17,서울,전체
1246,1246,"코람코신탁, 수원 연무동21번지 가로주택정비사업 대행자 선정",코람코자산신탁은 수원시 장안구 연무동21번지 가로주택정비사업의 사업대행자로 선정됐다고 16일 밝혔다. 코람코자산신탁은 수원시 최초의 신탁방식 ...,2023.11.16,그외,전체
1247,1247,"경기도, 12월부터 분쟁 정비구역에 법률·회계 등 전문가 파견",경기도는재개발·재건축 조합과 시공자 간 공사비 분쟁이 발생하는 정비구역 현장에 이르면 12월부터 법률·회계 등 전문가를 파견한다.15일 경기도는정 ...,2023.11.15,그외,전체
1248,1248,"대한토지신탁-코리아신탁, 인천 십정5구역 재개발 수주",대한토지신탁은 코리아신탁과 함께 인천 십정5구역 재개발 정비사업을 공동 수주했다고 15일 밝혔다.인천 부평구는 최근 ‘십정5구역 재개발사업’의  ...,2023.11.15,그외,전체
1249,1249,서울 종로 돈의문2구역 재개발 건축심의 통과..21층 228세대 공급,- 11.13.(월) 건축위원회 결과 돈의문2구역 등 2개 안건 건축심의 통과① 돈의문2: 주거동과 업무동 사이 보행자를 위한 도심 내 휴식공간 마련② 을지로3가 ...,2023.11.15,서울,전체
1250,1250,입주 6개월 만에 2차 추가분담금 100억 놓고 공방,인천 미추홀구 주안4구역 주택재개발정비사업조합(주안캐슬앤더샵에듀포레)비상대책위원회(주안4구역바로세우기추진위원회)가 13일 오후 K대학교 정문 ...,2023.11.14,그외,전체
